Title,Local Call Number,LC Call Number,Physical Availability
The Roman nude : heroic portrait statuary 200 B.C.-A.D. 300 / Christopher H. Hallett,,NB1296.3 .H35 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 1296.3 .H35 2005; (1 items out of 1 available)
Queens in stone and silver : the creation of a visual imagery of queenship in Capetian France / Kathleen Nolan,,NB1803.F7 N65 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 1803.F7 N65 2009; (1 items out of 1 available)
"Donors of Longmen : faith, politics, and patronage in medieval Chinese Buddhist sculpture / Amy McNair",,NB1912.B83 M43 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 1912.B83 M43 2007; (1 items out of 1 available)
Studien zum frühgriechischen Löwenbild,,NB 1940 .G3 1965 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 1940.G3 1965; (1 items out of 1 available)
Giacometti : critical essays / edited by Peter Read and Julia Kelly,,NB553.G4 G52 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 553.G4 G52 2009; (1 items out of 1 available)
"Apropos Rodin / Jennifer Gough-Cooper, Geoff Dyer",NB553.R7 A4 2006b ,NB553.R7 A4 2006  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 553.R7 A4 2006b; (1 items out of 1 available)
"Harry and me, 1950-1960 : the familiy years / Niki de Saint Phalle",,NB553.S32 A2 2006 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB 553.S32 A2 2006; (1 items out of 1 available)
"Catalog of an exhibition of sculpture of India and Thailand. Lawrence University, Appleton, Wisconsin, Sept. 18-Oct. 27, 1968",NB1000.C3 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1000.C3; (1 items out of 1 available)
Indian and South-east Asian stone sculptures from the Avery Brundage Collection [by] René-Yvon Lefebvre d'Argencé and Terese Tse,NB1000.L444 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1000.L444; (1 items out of 1 available)
Bodh Gaya / Frederick M. Asher,,NB1002 .A868 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1002.A868 2008; (0 items out of 1 available)
Stone sculpture in the Allahabad Museum; a descriptive catalogue,NB1002.C54 ,NB1002 .C54 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1002.C54; (1 items out of 1 available)
Iconography of minor Hindu and Buddhist deities / Bhagwant Sahai,NB1002.S24 ,NB1002 .S24 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1002.S24; (1 items out of 1 available)
"Gandhara sculpture from Pakistan museums / With a text by Benjamin Rowland, Jr. [Exhibition circulated by the Smithsonian Institution Traveling Exhibition Service]",NB1007.P4A8 ,NB1007.P4 A8 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1007.P4A8; (1 items out of 1 available)
The presence of ?iva / Stella Kramrisch ; photography by Praful C. Patel,NB1007.S67K7 ,NB1007.S67 K7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1007.S67K7; (1 items out of 1 available)
The caves at Aurangabad : early Buddhist Tantric art in India / text and photographs by Carmel Berkson,NB1008.A8 B464 1986  and others,NB1008.A8 B464 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1008.A8B464 1986; (1 items out of 1 available)
